,OBJECTID,GEOID,NAME,County_Name,State_Name,Lattitude,Longitude,Total Population,Population of one race,Population of one race: White alone,Population of one race: Black or African American alone,Population of one race: American Indian and Alaska Native alone,Population of one race: Asian alone,Population of one race: Native Hawaiian and Other Pacific Islander alone,Population of one race: Some Other Race alone,Hispanic or Latino Population,Non-Hispanic or Latino Population,Total population 18 years and over,Total population 18 years and over: Hispanic or Latino,Total population 18 years and over: Not Hispanic or Latino,Total housing units,Total occupied housing units,Total vacant housing units,Total group quarters population,Group quarters population: Institutionalized population,Group quarters population: Correctional facilities for adults,Group quarters population: Juvenile facilities,Group quarters population: Nursing facilities/Skilled-nursing facilities,Group quarters population: Other institutional facilities,Group quarters population: Noninstitutionalized population:,Group quarters population: College/University student housing,Group quarters population: Military quarters,Group quarters population: Other noninstitutional facilities,Percent of Population 18 Years and Over,Percent Hispanic or Latino,"Percent White alone, not Hispanic or Latino","Percent Black or African American alone, not Hispanic or Latino","Percent American Indian and Alaska Native alone, not Hispanic or Latino","Percent Asian alone, not Hispanic or Latino","Percent Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino","Percent Some Other Race alone, not Hispanic or Latino","Percent Population of two or more races, not Hispanic or Latino",Percent of Housing Units that are Occupied,Percent of Housing Units that are Vacant,STATE,COUNTY,TRACT,BLKGRP,BLOCK,TRIBAL TRACT,TRIBAL BLKGRP,URBAN AREA,URBAN AREA TYPE,URBAN/ RURAL,AREALAND,AREAWATR,POP100,Total Housing Count,Shape_Length,Shape_Area,y,x,Additional Cancer Prob,Expected Cancers
31,32,390299516001025,BLOCK 1025,Columbiana County,Ohio,40.767819,-80.5945084,16,15,15,0,0,0,0,0,0,16,16,0,16,7,7,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,93.8000030517578,0.0,0.0,0.0,0.0,0.0,6.300000190734863,100.0,0.0,39,29,951600,1,1025,999999,9,,,,30384,0,16,7,4.251751025530545,0.669546636005242,-7593.371517018123,-6136.5562733581,0.0,0.0
32,33,390299516001026,BLOCK 1026,Columbiana County,Ohio,40.7679193,-80.5925306,21,21,21,0,0,0,0,0,0,21,15,0,15,9,9,0,0,0,0,0,0,0,0,0,0,0,71.4000015258789,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,951600,1,1026,999999,9,,,,85773,0,21,9,1319.0650409158327,67977.86771877948,-7582.215164745091,-5970.115237632052,0.0,0.0
33,34,390299516001029,BLOCK 1029,Columbiana County,Ohio,40.7630902,-80.5939555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,39,29,951600,1,1029,999999,9,,,,0,511048,0,0,1473.5744521652923,57787.54935977343,-8119.355152394373,-6090.02717613009,0.0,0.0
34,35,390299501003010,BLOCK 3010,Columbiana County,Ohio,40.840951,-80.593389,104,104,103,0,0,1,0,0,1,103,84,0,84,39,39,0,0,0,0,0,0,0,0,0,0,0,80.80000305175781,1.0,98.0999984741211,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,39,29,950100,3,3010,999999,9,,,,2953247,0,104,39,10470.950267347907,5165080.034675249,541.0886467282721,-6042.353575813482,1.728877535289765e-28,1.7980326367013555e-26
35,36,390299501003011,BLOCK 3011,Columbiana County,Ohio,40.8363029,-80.5804904,68,68,68,0,0,0,0,0,0,68,56,0,56,35,31,4,0,0,0,0,0,0,0,0,0,0,82.4000015258789,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5999984741211,11.399999618530272,39,29,950100,3,3011,999999,9,,,,1050704,0,68,35,5819.586038379974,1837372.0904367175,24.081258893906888,-4956.876594052202,2.3996652817309084e-28,1.6317723915770176e-26
36,37,390299501003012,BLOCK 3012,Columbiana County,Ohio,40.8443732,-80.6095934,18,16,15,1,0,0,0,0,1,17,8,1,7,6,6,0,0,0,0,0,0,0,0,0,0,0,44.400001525878906,5.599999904632568,77.80000305175781,5.599999904632568,0.0,0.0,0.0,0.0,11.100000381469728,100.0,0.0,39,29,950100,3,3012,999999,9,,,,92685,0,18,6,1926.418246768347,162117.9583493862,921.739382006892,-7406.02890458182,7.94472058534889e-28,1.4300497053628003e-26
37,38,390299501003013,BLOCK 3013,Columbiana County,Ohio,40.8414613,-80.6101818,39,34,34,0,0,0,0,0,0,39,33,0,33,19,19,0,0,0,0,0,0,0,0,0,0,0,84.5999984741211,0.0,87.19999694824219,0.0,0.0,0.0,0.0,0.0,12.800000190734863,100.0,0.0,39,29,950100,3,3013,999999,9,,,,135949,0,39,19,3424.7927679936097,237771.93246868643,597.8492306253347,-7455.545489293498,7.239142039161447e-30,2.8232653952729643e-28
38,39,390299501003014,BLOCK 3014,Columbiana County,Ohio,40.8423651,-80.6117938,21,20,20,0,0,0,0,0,0,21,17,0,17,16,10,6,0,0,0,0,0,0,0,0,0,0,81.0,0.0,95.1999969482422,0.0,0.0,0.0,0.0,0.0,4.800000190734863,62.5,37.5,39,29,950100,3,3014,999999,9,,,,32358,0,21,16,2009.4773664454428,56595.25461770808,698.3787538986658,-7591.202753566833,2.4469115830439417e-28,5.138514324392278e-27
39,40,390299501003015,BLOCK 3015,Columbiana County,Ohio,40.8422695,-80.6125776,38,34,32,1,0,1,0,0,0,38,33,0,33,12,12,0,0,0,0,0,0,0,0,0,0,0,86.80000305175781,0.0,84.19999694824219,2.5999999046325684,0.0,2.5999999046325684,0.0,0.0,10.5,100.0,0.0,39,29,950100,3,3015,999999,9,,,,53250,0,38,12,1977.1422521942493,93135.73079151372,687.745181841899,-7657.163152676821,7.556883824526356e-37,2.8716158533200154e-35
40,41,390299501003017,BLOCK 3017,Columbiana County,Ohio,40.8428921,-80.6160358,67,65,65,0,0,0,0,0,0,67,51,0,51,31,22,9,0,0,0,0,0,0,0,0,0,0,76.0999984741211,0.0,97.0,0.0,0.0,0.0,0.0,0.0,3.0,71.0,29.0,39,29,950100,3,3017,999999,9,,,,99758,0,67,31,2173.2655210575585,174481.46406234574,756.9968760103656,-7948.186692808239,1.464267455698732e-36,9.810591953181505e-35
41,42,390299501003025,BLOCK 3025,Columbiana County,Ohio,40.8316346,-80.581281,35,35,34,1,0,0,0,0,0,35,34,0,34,13,13,0,0,0,0,0,0,0,0,0,0,0,97.0999984741211,0.0,97.0999984741211,2.900000095367432,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,950100,3,3025,999999,9,,,,148264,0,35,13,3402.1220240667685,259235.85168277944,-495.17297157152393,-5023.409249728844,6.874490007003305e-99,2.406071502451157e-97
42,43,390299501003026,BLOCK 3026,Columbiana County,Ohio,40.8309328,-80.5808329,2,2,2,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,39,29,950100,3,3026,999999,9,,,,31167,0,2,1,3219.9509716914044,54491.03220846215,-573.2340685320788,-4985.699557091432,1.670613638672283e-68,3.341227277344566e-68
43,44,390299501003027,BLOCK 3027,Columbiana County,Ohio,40.8335572,-80.5986331,18,18,18,0,0,0,0,0,0,18,11,0,11,4,4,0,0,0,0,0,0,0,0,0,0,0,61.09999847412109,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,950100,3,3027,999999,9,,,,393646,0,18,4,6600.297072514144,688312.7474432286,-281.3224942045315,-6483.668890934065,1.3579918241426457e-35,2.4443852834567622e-34
44,45,390299501003028,BLOCK 3028,Columbiana County,Ohio,40.8314973,-80.6000013,14,14,14,0,0,0,0,0,0,14,14,0,14,5,5,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,39,29,950100,3,3028,999999,9,,,,119565,0,14,5,4281.61522224453,209068.39919226663,-510.44482767404986,-6598.809259963831,9.574259409277534e-31,1.340396317298855e-29
45,46,390299501003030,BLOCK 3030,Columbiana County,Ohio,40.8408943,-80.5746474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,39,29,950100,3,3030,999999,9,,,,25461,0,0,0,886.0495085259106,44529.74603452361,534.7819151845473,-4465.161049498725,4.515827126795704e-68,0.0
46,47,390299501003031,BLOCK 3031,Columbiana County,Ohio,40.8349745,-80.6041172,17,13,11,0,0,0,2,0,0,17,10,0,10,7,6,1,0,0,0,0,0,0,0,0,0,0,58.79999923706055,0.0,64.69999694824219,0.0,0.0,0.0,11.800000190734863,0.0,23.5,85.69999694824219,14.300000190734863,39,29,950100,3,3031,999999,9,,,,97298,0,17,7,2196.103061869363,170138.3140140395,-123.67645156837716,-6945.181311950659,1.1411864184170464e-34,1.9400169113089787e-33
47,48,390299501004047,BLOCK 4047,Columbiana County,Ohio,40.8433763,-80.6186882,20,19,19,0,0,0,0,0,0,20,18,0,18,9,9,0,0,0,0,0,0,0,0,0,0,0,90.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,0.0,39,29,950100,4,4047,999999,9,,,,14526,0,20,9,658.5749375453768,25407.524863794664,810.8543612602604,-8171.398430304425,6.818521281547364e-120,1.3637042563094728e-118
48,49,390299501004057,BLOCK 4057,Columbiana County,Ohio,40.8425713,-80.6207387,30,28,28,0,0,0,0,0,0,30,23,0,23,14,14,0,0,0,0,0,0,0,0,0,0,0,76.69999694824219,0.0,93.3000030517578,0.0,0.0,0.0,0.0,0.0,6.699999809265137,100.0,0.0,39,29,950100,4,4057,999999,9,,,,21314,0,30,14,876.4589968191043,37277.33075052216,721.314345510872,-8343.957495431061,1.6554630966331844e-143,4.9663892898995535e-142
